Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Launch-1716880143292,1,876,876,876,876,876,876,876,0.000%,1.14155,3.75,0.54
Launch-1716880143521,1,227,227,227,227,227,227,227,0.000%,4.40529,5.93,1.72
Launch-1716880143756,1,236,236,236,236,236,236,236,0.000%,4.23729,28.86,1.91
Launch-1716880144014,1,258,258,258,258,258,258,258,0.000%,3.87597,5.94,3.97
Launch-1716880144131,1,711,711,711,711,711,711,711,0.000%,1.40647,4.63,0.66
Launch-1716880144367,1,235,235,235,235,235,235,235,0.000%,4.25532,5.73,1.66
Launch-1716880144501,1,486,486,486,486,486,486,486,0.000%,2.05761,10.53,0.87
Launch-1716880144610,1,243,243,243,243,243,243,243,0.000%,4.11523,28.03,1.85
Launch-1716880144873,1,262,262,262,262,262,262,262,0.000%,3.81679,5.85,3.91
Launch-1716880144971,1,469,469,469,469,469,469,469,0.000%,2.13220,1.63,0.95
Launch,5,2418,2404,2418,2552,2552,2340,2552,0.000%,.78493,14.81,2.51
Launch-1716880145111,1,689,689,689,689,689,689,689,0.000%,1.45138,4.77,0.68
Login-1716880145249,1,278,278,278,278,278,278,278,0.000%,3.59712,5.43,3.89
Launch-1716880145340,1,228,228,228,228,228,228,228,0.000%,4.38596,5.90,1.71
Launch-1716880145353,1,480,480,480,480,480,480,480,0.000%,2.08333,10.69,0.89
Launch-1716880145575,1,234,234,234,234,234,234,234,0.000%,4.27350,29.10,1.92
Login-1716880145578,1,326,326,326,326,326,326,326,0.000%,3.06748,1.86,1.46
Login,5,603,602,604,611,611,600,611,0.000%,1.13225,2.40,1.77
Launch-1716880145815,1,240,240,240,240,240,240,240,0.000%,4.16667,6.39,4.27
Launch-1716880145840,1,487,487,487,487,487,487,487,0.000%,2.05339,1.57,0.91
search-1716880146053,1,475,475,475,475,475,475,475,0.000%,2.10526,1.59,1.01
Login-1716880146128,1,287,287,287,287,287,287,287,0.000%,3.48432,5.26,3.77
Launch-1716880146130,1,723,723,723,723,723,723,723,0.000%,1.38313,4.55,0.65
Launch-1716880146297,1,481,481,481,481,481,481,481,0.000%,2.07900,10.65,0.88
