Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Launch-1716880233788,1,694,694,694,694,694,694,694,0.000%,1.44092,4.74,0.68
Launch-827,5,214,216,220,220,220,205,220,0.000%,1.19190,116.10,0.47
Launch-832,5,234,231,231,261,261,222,261,0.000%,1.17925,1.59,0.46
Launch-837,5,125,121,125,151,151,114,151,0.000%,1.20163,112.34,0.49
Launch-835,5,237,235,239,260,260,227,260,0.000%,1.16959,7.97,0.53
Launch-838,5,115,117,118,121,121,106,121,0.000%,1.20424,0.66,0.67
Launch-1716880234792,1,697,697,697,697,697,697,697,0.000%,1.43472,4.72,0.67
Launch-840,5,246,247,255,259,259,233,259,0.000%,1.16604,1.79,1.19
Launch-842,5,473,475,479,484,484,458,484,0.000%,1.11408,5.70,0.47
Launch-1716880235772,1,689,689,689,689,689,689,689,0.000%,1.45138,4.77,0.68
Launch-844,5,470,474,477,497,497,439,497,0.000%,1.12334,0.86,0.50
Launch,5,2806,2801,2829,2850,2850,2762,2850,0.000%,.73421,154.41,3.35
Login-1716880236230,1,280,280,280,280,280,280,280,0.000%,3.57143,5.39,3.86
Login-1716880236553,1,322,322,322,322,322,322,322,0.000%,3.10559,1.88,1.48
Login,5,577,576,581,602,602,553,602,0.000%,1.10375,2.34,1.72
Launch-1716880236769,1,687,687,687,687,687,687,687,0.000%,1.45560,4.79,0.68
My_Orders-1716880236820,1,266,266,266,266,266,266,266,0.000%,3.75940,2.64,1.93
My_Orders-1716880237049,1,228,228,228,228,228,228,228,0.000%,4.38596,8.13,1.81
My_Orders,5,499,497,504,518,518,485,518,0.000%,1.12994,2.89,1.05
Login-1716880237207,1,284,284,284,284,284,284,284,0.000%,3.52113,5.32,3.81
Signout-1716880237333,1,296,296,296,296,296,296,296,0.000%,3.37838,3.79,3.69
Signout,5,282,278,296,296,296,272,296,0.000%,1.18821,1.33,1.30
Login-1716880237501,1,289,289,289,289,289,289,289,0.000%,3.46021,2.10,1.65
My_Orders-1716880237764,1,266,266,266,266,266,266,266,0.000%,3.75940,2.64,1.93
Launch-1716880237773,1,682,682,682,682,682,682,682,0.000%,1.46628,4.82,0.69
My_Orders-1716880237994,1,238,238,238,238,238,238,238,0.000%,4.20168,7.78,1.73
Login-1716880238119,1,274,274,274,274,274,274,274,0.000%,3.64964,5.51,3.95
Signout-1716880238292,1,296,296,296,296,296,296,296,0.000%,3.37838,3.79,3.69
Login-1716880238429,1,307,307,307,307,307,307,307,0.000%,3.25733,1.98,1.56
My_Orders-1716880238680,1,259,259,259,259,259,259,259,0.000%,3.86100,2.71,1.99
My_Orders-1716880238915,1,226,226,226,226,226,226,226,0.000%,4.42478,8.20,1.82
Login-1716880239150,1,272,272,272,272,272,272,272,0.000%,3.67647,5.55,3.98
Signout-1716880239181,1,272,272,272,272,272,272,272,0.000%,3.67647,4.13,4.01
Login-1716880239431,1,281,281,281,281,281,281,281,0.000%,3.55872,2.16,1.70
My_Orders-1716880239680,1,260,260,260,260,260,260,260,0.000%,3.84615,2.70,1.98
My_Orders-1716880239947,1,258,258,258,258,258,258,258,0.000%,3.87597,7.18,1.60
Login-1716880240197,1,293,293,293,293,293,293,293,0.000%,3.41297,5.15,3.69
Signout-1716880240213,1,272,272,272,272,272,272,272,0.000%,3.67647,4.13,4.01
Login-1716880240480,1,283,283,283,283,283,283,283,0.000%,3.53357,2.14,1.69
My_Orders-1716880240743,1,267,267,267,267,267,267,267,0.000%,3.74532,2.63,1.93
My_Orders-1716880240979,1,230,230,230,230,230,230,230,0.000%,4.34783,8.05,1.79
Signout-1716880241248,1,278,278,278,278,278,278,278,0.000%,3.59712,4.04,3.92
TOTAL,90,462,272,682,697,2829,106,2850,0.000%,11.02671,264.77,9.97
