Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Launch-1716877497494,1,731,731,731,731,731,731,731,0.000%,1.36799,4.50,0.64
Launch-1716877497735,1,241,241,241,241,241,241,241,0.000%,4.14938,4.84,1.80
Launch-1716877497977,1,241,241,241,241,241,241,241,0.000%,4.14938,5.58,1.62
Launch-1716877498224,1,248,248,248,248,248,248,248,0.000%,4.03226,27.46,1.82
Launch-1716877498461,1,698,698,698,698,698,698,698,0.000%,1.43266,4.71,0.67
Launch-1716877498493,1,269,269,269,269,269,269,269,0.000%,3.71747,5.70,3.81
Launch-1716877498691,1,229,229,229,229,229,229,229,0.000%,4.36681,5.10,1.90
Launch-1716877498921,1,230,230,230,230,230,230,230,0.000%,4.34783,5.85,1.69
Launch-1716877499008,1,513,513,513,513,513,513,513,0.000%,1.94932,9.97,0.83
Launch-1716877499156,1,235,235,235,235,235,235,235,0.000%,4.25532,28.98,1.92
Launch-1716877499400,1,244,244,244,244,244,244,244,0.000%,4.09836,6.28,4.20
Launch-1716877499432,1,667,667,667,667,667,667,667,0.000%,1.49925,4.93,0.70
Launch-1716877499515,1,507,507,507,507,507,507,507,0.000%,1.97239,1.51,0.88
Launch-1716877499652,1,220,220,220,220,220,220,220,0.000%,4.54545,5.30,1.98
Launch-1716877499758,1,242,242,242,242,242,242,242,0.000%,4.13223,3.89,1.79
Launch-1716877499865,1,464,464,464,464,464,464,464,0.000%,2.15517,11.02,0.92
Launch-1716877499875,1,222,222,222,222,222,222,222,0.000%,4.50450,6.06,1.76
Launch-1716877499999,1,242,242,242,242,242,242,242,0.000%,4.13223,10.90,1.65
Launch-1716877500100,1,225,225,225,225,225,225,225,0.000%,4.44444,30.27,2.00
Launch-1716877500336,1,236,236,236,236,236,236,236,0.000%,4.23729,6.50,4.34
Launch-1716877500358,1,493,493,493,493,493,493,493,0.000%,2.02840,1.55,0.90
Launch-1716877500459,1,695,695,695,695,695,695,695,0.000%,1.43885,4.73,0.67
Launch-1716877500589,1,230,230,230,230,230,230,230,0.000%,4.34783,4.10,1.89
Launch-1716877500684,1,224,224,224,224,224,224,224,0.000%,4.46429,5.21,1.94
Launch-1716877500726,1,726,726,726,726,726,726,726,0.000%,1.37741,86.49,0.61
Launch-1716877500819,1,230,230,230,230,230,230,230,0.000%,4.34783,11.47,1.74
